Foundation,Communities,FormalName,Location,Region
"Dale Abbey,Deepdale","hermitage 12th centuryAugustinian Canons Regulardependent on Calke;
cell founded 1153-8 by Serlo de Grendon;
canons recalled to Calke c.1184;Premonstratensian Canons from Tupholme, Lincolnshire;founded ?c.1185;
canons recalled to Tupholme c.1192;
canons transferred from Welbeck, Nottinghamshire c.1196;
canons transferred from Newsham (Newhouse), Lincolnshire c.1200;
avoided suppression 1536 by payment of substantial fine;dissolved 30 October 1538","The Abbey Church of the Blessed Virgin Mary, Dale
____________________Stanley Park Abbey;(De Parco Stanley);Le Dale Abbey",52°56′39″N 1°21′02″W﻿ / ﻿52.9441772°N 1.3505244°W﻿ / 52.9441772; -1.3505244﻿ (Dale Abbey),Derbyshire
Darley Priory ^,"Augustinian Canons Regulardaughter of St Helen's, Derby;founded c.1146 by Robert de Ferraris (Ferrers), Earl of Derby: transferred from St Helen's;dissolved 22 October 1538; granted to Sir William West 1540/1;
house named 'Darley Park' built on site 18th century, demolished 1962;
a monastic building (probably the priory guest house) is now 15th century Darley Abbey public house — 'Old Abbey Inn';
partly 15th-century cottage at 7 Abbey Lane may incorporate monastic remains","The Priory Church of Saint Mary, Darley
____________________Darley Abbey;Little Derby Friary;Little Dirby Friary",52°56′28″N 1°28′42″W﻿ / ﻿52.940987°N 1.478267°W﻿ / 52.940987; -1.478267﻿ (Darley Priory),Derbyshire
Derby Blackfriars,"Dominican Friars (under the Visitation of Oxford)founded before 1239;dissolved 3 January 1539;
occupied by an 18th-century Friary Hotel built on site; converted into a public house 1996; currently in use as a nightclub",The Annunciation,52°55′23″N 1°29′02″W﻿ / ﻿52.9231216°N 1.4838731°W﻿ / 52.9231216; -1.4838731﻿ (Derby Black Friary (site)),Derbyshire
Derby — King's Mead Priory,"Benedictine nunsfounded 1149-59 (c.1160) by the abbess of Derby;dissolved 1536; granted to Francis, Earl of Shrewsbury 1543/4;
site now occupied by a 16th/17th-century building","St Mary
____________________De Pratis Priory",52°55′35″N 1°29′22″W﻿ / ﻿52.9264785°N 1.4893341°W﻿ / 52.9264785; -1.4893341﻿ (Derby — King's Mead Priory (site)),Derbyshire
Derby Priory (Augustinian),"Augustinian Canons Regularfounded 1137 by Towyne, a burgess of Derby;
most of the monks transferred to Darley c.1146;
reduced to cell 1154;
became a hospital 1160;
ceased before 1360","The Priory Church of Saint Helen, Derby",52°55′37″N 1°28′52″W﻿ / ﻿52.9270606°N 1.4812124°W﻿ / 52.9270606; -1.4812124﻿ (Derby Augustinian Priory (site)),Derbyshire
Derby Priory (Cluniac),"Cluniac monksalien house: priory cell dependent on Bermondsey, Surrey (Greater London);founded before 1140;granted to Bermondsey by Waltheof, son of Sweyn;
accidentally destroyed by fire; rebuilt c.1335;
became denizen: independent from 1395;dissolved 1536;","The Priory Church of Saint James, Derby",52°55′21″N 1°28′42″W﻿ / ﻿52.9225007°N 1.4782083°W﻿ / 52.9225007; -1.4782083﻿ (Derby Cluniac Priory (traditional site)),Derbyshire
Gresley Priory,"Augustinian Canons Regularfounded c.1135-40 by William de Greisley (or Fitz-Nigel);dissolved 1536; granted to Henry Cruche 1543/4;
nave of the priory church in use as parochial church of Church Gresley","The Priory Church of Saint Mary and Saint George, Gresley
____________________Church Gresley Priory;Greisley Priory",52°45′35″N 1°34′01″W﻿ / ﻿52.7597884°N 1.5668821°W﻿ / 52.7597884; -1.5668821﻿ (Gresley Priory),Derbyshire
Lees Priory,"Augustinian Canons Regular
?cell dependent on Rocester, Staffordshire;founded before c.1160?;dissolved after 1517?",Leyes Priory,53°12′31″N 1°37′38″W﻿ / ﻿53.2085322°N 1.6271728°W﻿ / 53.2085322; -1.6271728﻿ (Lees Priory),Derbyshire
Locko Preceptory,St. Lazarus Hospitallers and Leper Hospitalfounded c1297;dissolved 1375,"The Hospital of Saint Mary Magdalene
____________________Lockhay Preceptory",52°56′16″N 1°23′29″W﻿ / ﻿52.9377811°N 1.3912886°W﻿ / 52.9377811; -1.3912886﻿ (Locko Preceptory),Derbyshire
Repton Priory ^+,"Anglo-Saxon monks and nuns — double monasteryfounded before 660 traditionally by St David;destroyed in raids by the Danes 874;Augustinian Canons Regular  — from Calkefounded c.1153-9; rebuilt 1172 by Maud, widow of Ranulph, Earl of Chester;dissolved 25 October 1538;
remains incorporated into Repton School buildings (founded 1557);
St Wystan's Church on site incorporates substantial remains of the Anglo-Saxon foundation","St Wystan
The Priory Church of the Holy Trinity, Repton
____________________Repingdon Priory",52°50′28″N 1°33′02″W﻿ / ﻿52.8410895°N 1.5505582°W﻿ / 52.8410895; -1.5505582﻿ (Repton Priory)52°50′28″N 1°33′06″W﻿ / ﻿52.8411365°N 1.5515399°W﻿ / 52.8411365; -1.5515399﻿ (Repton Abbey),Derbyshire
"Yeaveley Preceptory,Stydd","Knights Hospitallerfounded c.1136 (or c.1190 or 1268?) by Ralph de Fun and Sir William Meynill;dissolved 1535 (1540); granted to Charles, Lord Montjoy 1543/4;
remains incorporated into farmhouse;
the Church of St Saviour was part of the Hospitallers' possessions","St Mary and St John the Baptist
____________________Yeaveley and Barrow Preceptory;Stydd Preceptory;Stede Preceptory;Yeveley Preceptory;Yeaveley and Stydd Preceptory",52°57′26″N 1°44′43″W﻿ / ﻿52.9572962°N 1.7453563°W﻿ / 52.9572962; -1.7453563﻿ (Yeaveley Preceptory)52°57′26″N 1°44′43″W﻿ / ﻿52.9572962°N 1.7453563°W﻿ / 52.9572962; -1.7453563﻿ (Stydd Preceptory),Derbyshire
Allerton Cell,"Benedictine hermits
cell dependent on Tavistock",,50°26′31″N 3°44′42″W﻿ / ﻿50.4420133°N 3.7449566°W﻿ / 50.4420133; -3.7449566﻿ (Allerton Cell),Devon
Axminster Monastery ~,"Saxon monks or secular canons collegiatefounded before 757 when Cyneheard the atheling was interred in the minster;secular canons collegiatefounded c.936 by King Athelstan;
made dependent on York, Yorkshire 1060 by Edward the Confessor;dissolved 1535;
collegiate and parochial church of St Mary possibly built on site during the Norman period",,50°46′54″N 2°59′58″W﻿ / ﻿50.7817388°N 2.9993668°W﻿ / 50.7817388; -2.9993668﻿ (Axminster Monastery (possible site)) (possible),Devon
Axmouth Priory,"Benedictine monksalien house: possible monastic grange, dependent on Montebourg;founded before 1387 (during the reign of Henry II) by Richard de Rivers, Earl of Devonshire;dissolved 1414;granted to Walter Erle (Earl) 1552",,50°42′50″N 3°02′58″W﻿ / ﻿50.7138945°N 3.0494463°W﻿ / 50.7138945; -3.0494463﻿ (Axmouth Priory (site)),Devon
Barnstaple Priory,"Cluniac monksalien house: daughter of St-Martin-des-Champs, Parisfounded c.1107 (before 1199) by Johel of Totness;
became denizen: independent from 1403;dissolved 1535; granted to William, Lord Howard 1537/8","The Priory Church of Saint Mary Magdalene, Barnstaple
The Church of Saint Mary the Virgin",51°05′19″N 4°03′45″W﻿ / ﻿51.0884729°N 4.0624362°W﻿ / 51.0884729; -4.0624362﻿ (Barnstaple Priory),Devon
Barnstaple Austin Friary (?),"Augustinian Friars
licensed 1348 and 1353 — apparently never established due to objection by the prior of the Cluniac house",,,Devon
Burlescombe Priory ≈,"Augustinian Canons Regular
recorded in the time of Richard I, (probably Canonsleigh Priory, in the parish of Burlescombe)","Burdlescombe;
possibly Canonsleigh",,Devon
Bodmiscombe Preceptory,"Knights Hospitallerfounded after 1200(?) (possibly during the reign of Henry III);dissolved before 15th century?;
apparently absorbed by Buckland 14th/15th century",Bothemescomb Preceptory,50°52′50″N 3°16′06″W﻿ / ﻿50.8804798°N 3.2683682°W﻿ / 50.8804798; -3.2683682﻿ (Bodmiscombe Preceptory),Devon
Braunton Monastery,"traditionally site of monastery
purportedly founded 5th century by St Branock (Brynach of Nevern)",,,Devon
Brightley Priory #,"Cistercian monks — from Waverley, Surreyfounded 3 May 1136 (or 1132, 1133 or 1138) by Richard fitz Baldwin de Brioniis, Lord of Okehampton and Sheriff of Devon;abandoned 1141; transferred to Forde, Dorset;
site now occupied by Brightley Farm, where a building is possibly a monastic chapel",,50°45′31″N 3°59′18″W﻿ / ﻿50.7584976°N 3.9882731°W﻿ / 50.7584976; -3.9882731﻿ (Brightley Priory (approx.)) (approx),Devon
Buckfast Monastery,"Benedictine monksfounded 1018 by Aylward, Duk;
Buckfast Abbey (see immediately below) built on site",,50°29′35″N 3°46′32″W﻿ / ﻿50.49295°N 3.775609°W﻿ / 50.49295; -3.775609﻿ (Buckfast monastery),Devon
Buckfast Abbey *,"Savignac monks — from Savignyfounded 27 April 1136 by Ethelwerd, son of William Pomerei;built on site of Benedictine monastery (see immediately above);Cistercian monks
orders merged 17 September 1147;dissolved 1539; granted to Sir Thomas Dennys 1539/40;
became ruinousBenedictine monks
priory founded 1882, rebuilt 1884 to 1938 (church 1906 to 1938);
raised to abbey status 1902;
affiliated to the English Congregation 1960; extant","The Abbey Church of Our Lady, Buckfast
____________________Buckfastre Abbey",50°29′35″N 3°46′32″W﻿ / ﻿50.49295°N 3.775609°W﻿ / 50.49295; -3.775609﻿ (Buckfast Abbey),Devon
Buckland Abbey,"Cistercian monks — from Quarr, Isle of Wightfounded 1278 by Amicia, Countess of Devonshire;dissolved 1539; granted to Sir Richard Greynfeld (Grenville) 1541/2; converted into a mansion named the 'Cider House' by 1576; sold to Sir Francis Drake 1581; remained with that family to 1946; house granted to NT 1949 currently principally in use as a museum; (NT)","The Abbey Church of Saint Benedict, Buckland",50°28′52″N 4°08′01″W﻿ / ﻿50.481188°N 4.133569°W﻿ / 50.481188; -4.133569﻿ (Buckland Abbey),Devon
Canonsleigh Abbey ^,"On site of Leigh, in the parish of Burlescombe; [14]Augustinian Canons Regular — from Plympton?
prioryfounded c.1161-1173 by Walter II de Claville,[15] (a descendant of the Domesday Book tenant Walter I de Claville), lord of the manor of Burlescombe;dissolved before 1285;Augustinian Canonesses
abbeyfounded before 1285 by Maud, Countess of Devon;dissolved 1539;
remains now incorporated into farm buildings","The Priory Church of the Blessed Virgin Mary and Saint John the Evangelist, Leigh (1161-1285)
The Priory Church of the Blessed Virgin Mary and Saint John the Evangelist and Saint Etheldreda, Leigh (1285-1539)
____________________Leigh Abbey;Canon's Leigh;Burlescombe Priory? (see above)",50°56′53″N 3°19′46″W﻿ / ﻿50.948056°N 3.329444°W﻿ / 50.948056; -3.329444﻿ (Canonsleigh Abbey),Devon
Chudleigh Abbey,"Brigittine nunstransferred from Spettisbury, Dorset 1887;transferred to Marley House, Rattery (now Syon Abbey) 1925","The Abbey Church of Saint Bridget of Syon, Chudleigh",,Devon
Churchill Monastery,uncertain order and foundation,,51°09′11″N 4°00′03″W﻿ / ﻿51.152971°N 4.000740°W﻿ / 51.152971; -4.000740﻿ (Churchill Monastery (approx.)) (approx),Devon
Cornworthy Priory,Augustinian Canonessesfounded 1205/1238 by the Edgecomb family;dissolved 1539; granted to Edward Harris and John Williams 1560,Court Prior,50°23′19″N 3°39′31″W﻿ / ﻿50.3884826°N 3.6586618°W﻿ / 50.3884826; -3.6586618﻿ (Cornworthy Priory),Devon
Cove,"Knights Hospitaller
member of Bodmiscombe Preceptory",,,Devon
Cowick Priory #,"Benedictine monksalien house: cell dependent on Bec-Hellouin;founded 1144: granted as cell to Bec-Hellouin by William Fitz-Baldwin;
became denizen: granted to Eton College 1451;granted to Tavistock after 1464;dissolved 1538","The Priory Church of Saint Andrew, Cowick
____________________Cowick Priory",50°43′15″N 3°32′30″W﻿ / ﻿50.7208284°N 3.541562°W﻿ / 50.7208284; -3.541562﻿ (Cowick Priory (site)),Devon
Crediton Monastery,"monksfounded 739;
secular episcopal diocesan cathedralfounded 909: see reputedly transferred from Bishops Tawton[note 1];
see transferred to Exeter 1050;
secular collegiaterefounded 1050;dissolved 1548",St Gregory (possibly),50°47′23″N 3°39′08″W﻿ / ﻿50.7896597°N 3.6522889°W﻿ / 50.7896597; -3.6522889﻿ (Crediton Monastery),Devon
Dartmouth Austin Friars,"Augustinian Friars (under the Limit of Oxford)
(founded at Clifton in Dartmouth 1331);dissolved before 1348;
church of St Petrox built on site 16th century",,50°20′32″N 3°33′58″W﻿ / ﻿50.3422629°N 3.5660881°W﻿ / 50.3422629; -3.5660881﻿ (Dartmouth Friary (possible site)) (possible),Devon
Dartmouth Monastery,"monks? uncertain order and foundation
chapel of St Patrick in the Castle annexed as a cell to a ""great abbey""",,,Devon
Denbury Priory,"Benedictine monksdependent on Tavistock;founded 1086;dissolved 1539;
site now on Wrenwell Farm",Denbury Cell;Denbury Grange,50°30′00″N 3°39′55″W﻿ / ﻿50.4999332°N 3.6651742°W﻿ / 50.4999332; -3.6651742﻿ (Denbury Priory),Devon
Dunkeswell Abbey,"Cistercian monksdaughter of Forde, Dorset;founded 16 November 1201 by William Briwere;dissolved 1539; granted to John, Lord Russell 1534/5;
site in multiple ownership, with the Holy Trinity parish chapel built on site 1842",,50°51′48″N 3°13′17″W﻿ / ﻿50.8633606°N 3.2213974°W﻿ / 50.8633606; -3.2213974﻿ (Dunkeswell Abbey),Devon
Exeter Cathedral Priory +,"founded ?before c.690;Benedictine? monks 932 (see immediately below)secular canonsfounded 1050;
episcopal diocesan cathedralfounded 1050: see transferred from Crediton; extant","The Priory Church of the Blessed Virgin Mary and Saint Peter
The Cathedral Church of Saint Peter in Exeter",50°43′21″N 3°31′47″W﻿ / ﻿50.722476°N 3.529796°W﻿ / 50.722476; -3.529796﻿ (Exeter Cathedral Priory),Devon
Exeter Monastery,Saxonfounded 868 by King Etheldred,,50°43′21″N 3°31′44″W﻿ / ﻿50.7224517°N 3.5289824°W﻿ / 50.7224517; -3.5289824﻿ (Exeter monasteries (site)),Devon
Exeter Monastery,"Benedictine monksfounded 932 by King Athelstan;
monks repeatedly fled through Danish raids but recalled by Canute 1019",,,Devon
Exeter Nunnery (?),"Augustinian Canonesses
supposedly founded c.968;
purportedly rebuilt as the Deanery 15th century[31]
Later sources deny its existence.[32]",,50°43′20″N 3°31′52″W﻿ / ﻿50.7221851°N 3.5310262°W﻿ / 50.7221851; -3.5310262﻿ (Exeter Nunnery (site)),Devon
Exeter Priory (?),"Carthusian monks
licence granted to Richard Stapleton 1331/2 to build and endow a monastery — apparently never established",,,Devon
Exeter Blackfriars #,"Dominican Friars (under the Visitation of London)founded before 1232;dissolved 1538;
house named 'Bedford House' built on site, demolished 1773",Exeter Blackfriars,50°43′26″N 3°31′42″W﻿ / ﻿50.7237626°N 3.5282314°W﻿ / 50.7237626; -3.5282314﻿ (Exeter Black Friary (site)),Devon
Exeter Greyfriars,"Franciscan Friars (under the Custody of Bristol)founded before 1240;transferred by Thomas Bitton (Bytten), Bishop of Exeter, to new site south of the South City Gate c.1292-1303 (see immediately below);dissolved 1538",,"50°43′17″N 3°32′14″W﻿ / ﻿50.7212954°N 3.5370934°W﻿ / 50.7212954; -3.5370934﻿ (Exeter Grey Friary, earlier site)",Devon
Exeter Greyfriars,Franciscan Friars (under the Custody of Bristol)transferred by Bishop Bytten from behind the North and West Gates c.1292-1303 (see immediately above),,50°43′19″N 3°32′08″W﻿ / ﻿50.7219627°N 3.5356557°W﻿ / 50.7219627; -3.5356557﻿ (Exeter Grey Friary),Devon
Exeter — Polsloe Priory,"Benedictine nunsfounded before/c.1160: transferred from Oldbury, Warwickshire;dissolved 1536 (1538); granted to John, Earl of Warwick during the reign of Edward VI;
largely demolished, remaining range converted into country house","The Priory Church of Saint Katherine, Polsloe
____________________Polleshoo Priory",50°44′03″N 3°30′07″W﻿ / ﻿50.7342466°N 3.5018894°W﻿ / 50.7342466; -3.5018894﻿ (Polslow Priory),Devon
Exeter — St James Priory #,"Cluniac monksdaughter of the abbey of St Martin-in-the-fields, Paris;founded before 1143 (1141) by Baldwin de Redverus (Redvers/Rivers), Earl of Devon;dissolved; house built on site called 'The Old Abbey'",St James,50°42′31″N 3°30′56″W﻿ / ﻿50.7086582°N 3.5155714°W﻿ / 50.7086582; -3.5155714﻿ (Exeter — St James Priory (site)),Devon
Exeter — St Nicholas Priory ^,"Benedictine monks — from Battle, Sussexfounded 1087 by William the Conqueror;dissolved 1536; granted to Sir Thomas Denys 1540/1;
private houses built on site 1820;
monastic architecture restored;
in ownership of Exeter Corporation 1913;
open to public as a museum 1916;
(closed for repair until 2008)","The Priory Church of Saint Nicolas, Exeter
____________________Benedictine Priory of St Nicholas",50°43′19″N 3°32′06″W﻿ / ﻿50.721847°N 3.53505°W﻿ / 50.721847; -3.53505﻿ (Exeter — St Nicholas Priory),Devon
Exminster Monastery #,pre-conquest monastic or secular communityfounded 8th century,,50°40′49″N 3°29′42″W﻿ / ﻿50.6803349°N 3.4951115°W﻿ / 50.6803349; -3.4951115﻿ (Exminster Monastery (site)),Devon
Frithelstock Priory,"Augustinian Canons Regular — Arroasianfounded c.1220 by Sir Robert Beauchamp, Kt.;dissolved 1536; granted to Arthur Viscount Lisle 1537/8","The Abbey Church of Saint Mary and Saint Gregory, Frithlestock
____________________Frethelstoke Priory;Fristoke Priory",50°57′18″N 4°11′19″W﻿ / ﻿50.955019°N 4.188575°W﻿ / 50.955019; -4.188575﻿ (Frithelstock Priory),Devon
Hartland Abbey,"secular collegefounded before 1066 by Gytha, wife of Earl GodwinAugustinian Canons Regular — Arroasianfounded 1161-9 (secular collegiate church of St Nectan and its endowments granted to Richard, Archdeacon of Poictiers by Geoffrey of Dinam; approved by Henry II and Bartholomew, Bishop of Exeter);dissolved 21 February 1539; granted to William Abbot 1545/6;
remains (cloisters) incorporated into house named 'Hartland Abbey' built on site",Hertland Abbey,50°59′46″N 4°30′27″W﻿ / ﻿50.9960801°N 4.5076132°W﻿ / 50.9960801; -4.5076132﻿ (Hartland Abbey),Devon
Indio Monastery,uncertain order and foundation,,50°35′17″N 3°40′46″W﻿ / ﻿50.587978°N 3.679562°W﻿ / 50.587978; -3.679562﻿ (Indio Monastery (approx.)) (approx),Devon
Ipplepen Priory #,"Augustinian Canons Regularalien house: cell, daughter of St Pierre-Rillefounded c.1143(?): church granted by the Fougères family to the priory, transferred from Notre-Dame-de-Fougères;dissolved c.1414;granted to Ottery St Mary 1438;
house called 'The Priory' possibly built on site",,50°29′16″N 3°38′22″W﻿ / ﻿50.4878764°N 3.6395645°W﻿ / 50.4878764; -3.6395645﻿ (Ipplepen Priory (approx.)) (approx),Devon
Ivybridge Priory *,Sisters of the Sacred Hearts of Jesus & Mary — from St. Quay 1910Augustinian (Augustinian Recollect)founded 1932; extant; originally 'Cadleigh House',St Austin's Priory,50°23′24″N 3°56′59″W﻿ / ﻿50.390029°N 3.949698°W﻿ / 50.390029; -3.949698﻿ (Ivybridge Priory),Devon
Kerswell Priory,"Cluniac monksalien house: cell dependent on Montacute, Somerset;founded 1119-1129;
became denizen: independent from 1407;dissolved 1538 or 1539; granted to John Etherege (Atherege) 1546/7;
16th century house built on site",Careswell Cell,50°51′00″N 3°18′59″W﻿ / ﻿50.8498998°N 3.3164844°W﻿ / 50.8498998; -3.3164844﻿ (Kerswell Priory),Devon
Leigh Cell,"Sauvignac monks
grange(?) dependent on Buckfast(?)founded c.1137(?);Cistercian monks
orders merged 17 September 1147",Leigh Grange,50°18′34″N 3°48′39″W﻿ / ﻿50.309351°N 3.810883°W﻿ / 50.309351; -3.810883﻿ (Leigh Cell (approx.)) (approx),Devon
Marsh Barton Priory #,Augustinian Canons Regulardependent on Plymptonfounded 1142;dissolved 1539,"St Mary
St Mary de Marsh",50°42′28″N 3°31′36″W﻿ / ﻿50.7077681°N 3.5266435°W﻿ / 50.7077681; -3.5266435﻿ (Marsh Barton Priory (site)),Devon
Modbury Priory,"Benedictine monksalien house: dependent on St-Pierre-sur-Divesfounded c.1140 by Sir Peter-sur-Dive, sic.[note 2], or (purportedly) by a member of the Chambernoun family;
extant 1430;dissolved c.1441; granted to Eton College by Edward VI;
nominally reverted to Tavistock c.1461-67",St George,50°20′55″N 3°53′25″W﻿ / ﻿50.3484848°N 3.8903457°W﻿ / 50.3484848; -3.8903457﻿ (Modbury Priory),Devon
Newenham Abbey,"Cistercian monksdaughter of Beaulieu, Hampshirefounded 6 January 1246 or 1247 by Reginald de Mohun, Earl of Somerset;dissolved 1539; leased to the Duke of Suffolk; granted to Thomas, Duke of Norfolk 1562/3","The Priory Church of the Blessed Virgin Mary, Newenham
____________________Neuham Abbey",50°46′13″N 3°00′42″W﻿ / ﻿50.770299°N 3.011627°W﻿ / 50.770299; -3.011627﻿ (Newenham Priory),Devon
Otterton Priory,"Benedictine monksalien house: cell dependent on Mont-St-Michel, Normandy;founded before 1087 by the monks of Mont-St-Michel;dissolved 1414; subsequently granted to Syon Abbey; granted to Richard Duke at the dissolution of Syon 1539;
part of claustral building converted into mansion",Otterington Priory,50°39′32″N 3°18′10″W﻿ / ﻿50.6588593°N 3.3029044°W﻿ / 50.6588593; -3.3029044﻿ (Otterton Priory),Devon
Ottery St Mary Monastery,"supposed pre-Conquest monastery (""disproved""[note 3])","supposed pre-Conquest monastery (""disproved""[note 3])","supposed pre-Conquest monastery (""disproved"")",Devon
Pilton Priory +,Benedictine monksfounded ?before 12th century purportedly by King Athelstan (evidence lacking and disputed);dissolved 1539,"The Priory Church of Saint Mary the Virgin, Pilton",51°05′18″N 4°03′45″W﻿ / ﻿51.0884627°N 4.0624845°W﻿ / 51.0884627; -4.0624845﻿ (Pilton Priory),Devon
Plymouth — St Dunstan's Abbey,"Sisters of the Most Holy Trinityfounded by Priscilla Lydia Sellon with the support of the Henry Phillpott, Bishop of Exeter;[56]transferred to Berkshire 1906;
property transferred to St Mary the Virgin at Wantage, who continued in use as St Dunstan Abbey School for Girls","The Abbey Church of Saint Dunstan, Plymouth;
St Dunstan of Glastonbury",50°22′29″N 4°09′14″W﻿ / ﻿50.3747894°N 4.1537869°W﻿ / 50.3747894; -4.1537869﻿ (Plymouth Abbey),Devon
Plymouth Blackfriars(?),"purported Dominican Friarsfounded 1431;
site now occupied by the Black Friars Distillery;possible confusion with Greyfriars",,50°22′04″N 4°08′16″W﻿ / ﻿50.3677942°N 4.1378143°W﻿ / 50.3677942; -4.1378143﻿ (Plymouth Blackfriars (purported)),Devon
Plymouth Greyfriars,"Franciscan Friars (under the Custody of Bristol)founded 1383;
in private ownership 1513;dissolved 1538",Plymouth Friary,50°22′07″N 4°08′09″W﻿ / ﻿50.3686137°N 4.1358268°W﻿ / 50.3686137; -4.1358268﻿ (Plymouth Greyfriars),Devon
Plymouth Whitefriars #,Carmelite Friarsfounded before 1296-7;dissolved 1538,,50°22′18″N 4°07′50″W﻿ / ﻿50.3716007°N 4.1305268°W﻿ / 50.3716007; -4.1305268﻿ (Plymouth Whitefriars (site)),Devon
Plympton Priory,secular collegiatefounded 904 (before 909);Augustinian Canons Regular church built on site 1121 by William Warlewas (Bishop of Exeter 1150-9);dissolved 1539,"The Priory Church of Saint Peter and Saint Paul, Plympton",50°23′14″N 4°03′29″W﻿ / ﻿50.3871692°N 4.0581608°W﻿ / 50.3871692; -4.0581608﻿ (Plympton Priory),Devon
St Michael's Monastery,"Benedictine monks
purported cell dependent on Malmesbury",St Michael,,Devon
Sidmouth Priory (Augustinian) (?),purported foundation of Augustinian Canons Regularprobable confusion with Benedictine founded (see immediately below),,50°40′34″N 3°14′49″W﻿ / ﻿50.6760381°N 3.2468221°W﻿ / 50.6760381; -3.2468221﻿ (Sidmouth Augustinian Priory (purported)),Devon
Sidmouth Priory,"Benedictine monksalien house: cell or grange dependent on Mont St Michelfounded 11th century: manor granted by William the Conqueror ;dissolved 1414(?);Bridgettine monks grange of Syon Abbey c.1431;dissolved;
remains incorporated in Marlborough Hotel",,50°40′42″N 3°14′17″W﻿ / ﻿50.6784092°N 3.2380807°W﻿ / 50.6784092; -3.2380807﻿ (Sidmouth Priory),Devon
Tavistock Abbey,"Benedictine monksfounded 961/974 (or 975-80) (begun by Ordgar, Earl of Devonshire and completed by his son);dissolved 1539; granted to John, Lord Russell 1539/40;
mansion built on site, now 'The Bedford Hotel'","The Abbey Church of the Blessed Virgin Mary and Saint Rumon, Tavistock
____________________Tavestock Abbey",50°32′58″N 4°08′42″W﻿ / ﻿50.5494506°N 4.1449946°W﻿ / 50.5494506; -4.1449946﻿ (Tavistock Abbey),Devon
Teignmouth Abbey *,"Benedictine nuns
(founded at Dunkirk, Flanders 1662, daughter of Ghent)transferred from Hammersmith, London 1862","The Abbey Church of Saint Scholastica, Teignmouth",50°33′25″N 3°29′25″W﻿ / ﻿50.556879°N 3.4903°W﻿ / 50.556879; -3.4903﻿ (Teignmouth Abbey),Devon
Torre Abbey,"Premonstratensian Canons — from Welbeck, Nottinghamshirefounded 1196 by William Briwere;dissolved 1539; granted to Sir John St.Leger 1543/4;
country house built on site, now in ownership of Torbay Corporation",Torr Abbey,50°27′48″N 3°32′28″W﻿ / ﻿50.4633028°N 3.5409772°W﻿ / 50.4633028; -3.5409772﻿ (Torre Abbey),Devon
Totnes Priory,"Benedictine monksalien house: cell dependent on St-Serge, Angersfounded c.1088 by John Aluredi;
became denizen: independent from before 1416;dissolved 1536; granted to Catherine Champernoun and others 1543/4;rebuilt priory church in parochial use, municipal buildings built on claustral site",,50°25′55″N 3°41′16″W﻿ / ﻿50.4318536°N 3.6878362°W﻿ / 50.4318536; -3.6878362﻿ (Totnes Priory),Devon
Totnes Trinitarian Priory,"Trinitarian monksfounded 1271;dissolved 1509 (suppressed to 1519); granted to the vicars of Exeter Cathedral 1519;
seized by the Crown;
returned to the vicars 16th century until 1801",Little Totnes Priory;Werland Priory;Warland Priory,50°25′45″N 3°41′03″W﻿ / ﻿50.4291967°N 3.6842743°W﻿ / 50.4291967; -3.6842743﻿ (Totnes Trinitarian Priory (site)),Devon
"Townstall Monastery, Dartmouth",supposed alien cell,,,Devon
Yodby Monastery,uncertain order and foundation,,,Devon
Abbotsbury Abbey +,"secular canons collegiatefounded c.1026 by Orcus, steward to Canute;Benedictine monks — from Cerne;founded 1044 (during the reign of Edward the Confessor) by Orcius or by his widow Tola[note 1];dissolved 12 March 1539; granted to Sir Giles Strangwaies 1543/4;
much in private ownership, partly in parochial use","The Abbey Church of Saint Peter
____________________Abbotesbury Abbey;Abbodesbirig Abbey",50°39′52″N 2°35′56″W﻿ / ﻿50.6643562°N 2.5988647°W﻿ / 50.6643562; -2.5988647﻿ (Abbotsbury Abbey),Dorset
Beaminster,pre-conquest monastic or secular community founded before 862,Bebingmynster,50°48′29″N 2°44′32″W﻿ / ﻿50.8080162°N 2.742092°W﻿ / 50.8080162; -2.742092﻿ (Beaminster (approx. site loc.)) (approx),Dorset
Bindon Abbey,"Cistercian monks — from Little Bindondependent on Forde;founded 22 or 27 September 1172 by Robert de Burgo and his wife Maud;dissolved 1539; granted to Sir Richard Poynings 1540/1;
now in private ownership",,50°40′50″N 2°12′29″W﻿ / ﻿50.6805524°N 2.208142°W﻿ / 50.6805524; -2.208142﻿ (Bindon Abbey),Dorset
Blackmoor Priory Hermitage,"order and foundation uncertain
hermitage in existence by 1300, with brothers apparently following a rule similar to Augustinian Friars;dissolved/abandoned, becoming a free chapel after 1424",Hermitage,50°51′40″N 2°28′45″W﻿ / ﻿50.8610107°N 2.4793053°W﻿ / 50.8610107; -2.4793053﻿ (Blackmoor Priory Hermitage (approx. site loc.)) (approx),Dorset
Bridport Whitefriars (?),"purported foundation for Carmelite Friarsfounded 1261;
probably ceased to exist before 1365",,50°43′31″N 2°46′00″W﻿ / ﻿50.7251923°N 2.7665699°W﻿ / 50.7251923; -2.7665699﻿ (Bridport Whitefriars (purported)),Dorset
Bridport Priory,"order uncertain 13th century;
converted into a residence named 'St Jones'",,50°43′31″N 2°46′00″W﻿ / ﻿50.7251923°N 2.7665699°W﻿ / 50.7251923; -2.7665699﻿ (Bridport Priory),Dorset
